lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Jasień Południowy,MLP,1,76,0.20081830340995818,0.1177661412671616,,0.08305216214279658,0.413568666784143,0.586431333215857,0.41356866678414295
Lake Jasień Południowy,PLSR,3,76,0.19706567022419288,0.1776298245292898,,0.019435845694903087,0.098626233004102,0.901373766995898,0.09862623300410192
Lake Jasień Południowy,XGBoost,3,76,0.19706567022419283,0.1241331759364508,,0.07293249428774203,0.3700923174688256,0.6299076825311745,0.37009231746882554
Lake Jasień Południowy,MLP,3,76,0.19706567022419283,0.1212409455504289,,0.07582472467376393,0.3847687968168862,0.6152312031831138,0.38476879681688625
Lake Jasień Południowy,PLSR,5,76,0.3021680923909131,0.2055669720623799,,0.09660112032853319,0.3196933083411991,0.680306691658801,0.3196933083411991
Lake Jasień Południowy,XGBoost,5,76,0.30216809239091313,0.1521447992515271,,0.15002329313938603,0.496489510151213,0.503510489848787,0.496489510151213
Lake Jasień Południowy,MLP,5,76,0.30216809239091297,0.154750699639273,,0.14741739275163998,0.487865501306048,0.512134498693952,0.48786550130604794
Lake Jasień Południowy,PLSR,10,76,0.1784482636676546,0.1191919254292989,,0.05925633823835569,0.3320645082211096,0.6679354917788904,0.3320645082211095
Lake Jasień Południowy,XGBoost,10,76,0.17844826366765446,0.11412875599037,,0.06431950767728445,0.3604378252326182,0.6395621747673819,0.36043782523261814
Lake Jasień Południowy,MLP,10,76,0.17844826366765462,0.1023795307417722,,0.07606873292588243,0.4262788950682383,0.5737211049317616,0.42627889506823835
Lake Jasień Południowy,PLSR,1,77,0.18822088071117124,0.1732867463994167,,0.014934134311754527,0.0793436597570418,0.9206563402429582,0.07934365975704184
Lake Jasień Południowy,XGBoost,1,77,0.18822088071117118,0.1251948914149943,,0.06302598929617689,0.3348511903117681,0.6651488096882319,0.33485119031176813
Lake Jasień Południowy,MLP,1,77,0.18822088071117124,0.1160584837569905,,0.07216239695418074,0.3833920702506684,0.6166079297493317,0.3833920702506684
Lake Jasień Południowy,PLSR,3,77,0.18582239131794293,0.1707688001614546,,0.015053591156488327,0.0810106373059488,0.9189893626940512,0.08101063730594875
Lake Jasień Południowy,XGBoost,3,77,0.18582239131794293,0.1198251391259954,,0.06599725219194752,0.3551630574347489,0.6448369425652511,0.3551630574347489
Lake Jasień Południowy,MLP,3,77,0.1858223913179429,0.1152857444078163,,0.0705366469101266,0.3795917306516673,0.6204082693483327,0.37959173065166724
Lake Jasień Południowy,PLSR,5,77,0.1820512086057703,0.1927812088931203,,-0.010730000287350022,-0.0589394587387285,1.0589394587387284,-0.058939458738728405
Lake Jasień Południowy,XGBoost,5,77,0.18205120860577026,0.1442190303060191,,0.03783217829975116,0.2078106292805229,0.7921893707194771,0.20781062928052293
Lake Jasień Południowy,MLP,5,77,0.18205120860577018,0.12698556877251,,0.05506563983326018,0.302473338299944,0.697526661700056,0.302473338299944
Lake Jasień Południowy,PLSR,10,77,0.17229000537132746,0.122957201490577,,0.04933280388075047,0.286335826103597,0.713664173896403,0.286335826103597
Lake Jasień Południowy,XGBoost,10,77,0.1722900053713275,0.1201479079439802,,0.052142097427347295,0.3026414346470875,0.6973585653529125,0.3026414346470874
Lake Jasień Południowy,MLP,10,77,0.17229000537132755,0.1477590385784118,,0.024530966792915748,0.1423818248552909,0.8576181751447091,0.14238182485529097
Lake Jasień Południowy,PLSR,1,78,0.22777007008346442,0.2268713115307411,,0.0008987585527233111,0.0039459026066724,0.9960540973933276,0.0039459026066723454
Lake Jasień Południowy,XGBoost,1,78,0.22777007008346442,0.175325892789841,,0.05244417729362341,0.2302505108414841,0.7697494891585159,0.23025051084148404
Lake Jasień Południowy,MLP,1,78,0.22777007008346437,0.1252117932967054,,0.10255827678675897,0.4502710661083202,0.5497289338916798,0.4502710661083202
Lake Jasień Południowy,PLSR,3,78,0.20139538878743937,0.1627928449138102,,0.038602543873629186,0.1916754012556754,0.8083245987443246,0.1916754012556753
Lake Jasień Południowy,XGBoost,3,78,0.20139538878743932,0.1304971984072959,,0.07089819038014342,0.3520348071853031,0.6479651928146969,0.35203480718530306
Lake Jasień Południowy,MLP,3,78,0.2013953887874393,0.1166781827774679,,0.08471720600997139,0.420651149529912,0.579348850470088,0.42065114952991206
Lake Jasień Południowy,PLSR,5,78,0.20297402529851352,0.1610582514419136,,0.04191577385659992,0.2065080580132058,0.7934919419867942,0.20650805801320585
Lake Jasień Południowy,XGBoost,5,78,0.20297402529851352,0.1116818581223949,,0.09129216717611863,0.449772637381207,0.550227362618793,0.449772637381207
Lake Jasień Południowy,MLP,5,78,0.20297402529851358,0.1104377517328975,,0.09253627356561608,0.4559020242639564,0.5440979757360436,0.45590202426395643
Lake Jasień Południowy,PLSR,10,78,0.17795985108878107,0.1203831990628208,,0.05757665202596027,0.3235372947230852,0.6764627052769148,0.32353729472308523
Lake Jasień Południowy,XGBoost,10,78,0.17795985108878104,0.1004922055881726,,0.07746764550060845,0.4353096536862388,0.5646903463137611,0.43530965368623886
Lake Jasień Południowy,MLP,10,78,0.17795985108878098,0.1190452382379993,,0.058914612850781686,0.3310556239498874,0.6689443760501126,0.33105562394988747
Lake Jasień Południowy,PLSR,1,79,0.4368889215768334,0.3775679557738658,,0.059320965802967585,0.1357804272789985,0.8642195727210015,0.13578042727899853
Lake Jasień Południowy,XGBoost,1,79,0.4368889215768334,0.246635874262828,,0.1902530473140054,0.4354723444865909,0.5645276555134091,0.43547234448659083
Lake Jasień Południowy,MLP,1,79,0.43688892157683323,0.1943122722497524,,0.24257664932708084,0.5552364269141944,0.4447635730858056,0.5552364269141944
Lake Jasień Południowy,PLSR,3,79,0.3713891651178688,0.274113442677721,,0.09727572244014782,0.2619239572862488,0.7380760427137512,0.26192395728624873
Lake Jasień Południowy,XGBoost,3,79,0.37138916511786885,0.1742179679025553,,0.19717119721531354,0.5309018421248728,0.4690981578751272,0.5309018421248728
