lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Branched Oak Lake,PLSR,5,full,-0.0079179067276583,-0.0256646335622239,0.1208372285101289,0.03014834870149115,-0.07102658569339901,-0.20785979242203304
Branched Oak Lake,PLSR,5,full_minus_affine,-0.0065154612996328,-0.02565748498332475,0.12083353209552225,0.0302153016033577,-0.0706062166073122,-0.20764680912859437
Branched Oak Lake,PLSR,5,full_minus_repr0,0.0,0.0005882255403650001,0.11471943887266745,0.06497816608123369,0.0,0.0008773375445825992
Branched Oak Lake,PLSR,5,intercept_only,0.0,0.0,0.11488795660878981,0.06472722782325595,0.0,1.6653345369377347e-17
Branched Oak Lake,PLSR,5,repr_only,-0.0065154612996328,-0.02565748498332475,0.12083353209552225,0.0302153016033577,-0.0706062166073122,-0.20764680912859437
Branched Oak Lake,PLSR,5,source_only,0.0,0.0,0.4256834843816476,-2.4525596310899593,0.0,0.0
Branched Oak Lake,PLSR,10,affine_only,0.0,0.005335167281915449,0.10950161107681189,0.0729054091874484,0.0,0.002957955138995196
Branched Oak Lake,PLSR,10,full,0.2584740120209539,0.3360120445183421,0.0916130719242385,0.2171271572433391,0.2261429232032345,0.27622260869468396
Branched Oak Lake,PLSR,10,full_minus_affine,0.2609230832309656,0.3344807284277398,0.0915627595880215,0.21727614682368057,0.22585355322002956,0.2754771698729218
Branched Oak Lake,PLSR,10,full_minus_repr0,0.1957272379259346,0.21038539255349303,0.09842059111105564,0.17139527670065674,0.1861905115398459,0.18347789958817529
Branched Oak Lake,PLSR,10,full_minus_repr1,-0.0057874243796893505,0.0191478280910556,0.11443509681177044,0.038338467538039656,-0.10657865002112593,-0.08336187329351602
Branched Oak Lake,PLSR,10,intercept_only,0.0,0.0,0.1095606010191437,0.0763650747135767,0.0,-3.3306690738754695e-17
Branched Oak Lake,PLSR,10,repr_only,0.2609230832309656,0.3344807284277398,0.0915627595880215,0.21727614682368057,0.22585355322002956,0.2754771698729218
Branched Oak Lake,PLSR,10,source_only,0.0,0.0,0.4260406354188747,-2.6266195555406324,0.0,0.0
Branched Oak Lake,XGBoost,5,affine_only,0.0,0.00457041116470645,0.0877524574146093,0.30639234208284327,0.0,0.003592032685948067
Branched Oak Lake,XGBoost,5,full,-0.030759519470594902,-0.0687856621923705,0.0947155076724832,0.25490958981356204,-0.05719422140940395,-0.1774745751087425
Branched Oak Lake,XGBoost,5,full_minus_affine,-0.0309686552420512,-0.07029560546068836,0.09494827029865835,0.24986285256570373,-0.0571493933820895,-0.180187161262787
Branched Oak Lake,XGBoost,5,full_minus_repr0,0.0,0.00457041116470645,0.0877524574146093,0.30639234208284327,0.0,0.003592032685948067
Branched Oak Lake,XGBoost,5,intercept_only,0.0,0.0,0.08758898323873905,0.3038582654276937,0.0,1.2162437612595056e-10
Branched Oak Lake,XGBoost,5,repr_only,-0.0309686552420512,-0.07029560546068836,0.09494827029865835,0.24986285256570373,-0.0571493933820895,-0.180187161262787
Branched Oak Lake,XGBoost,5,source_only,0.0,0.0,0.10618614146638505,0.1499105730580863,0.0,0.0
Branched Oak Lake,XGBoost,10,affine_only,0.0,0.00950971319338065,0.0853193145442767,0.2990130521018666,0.0,0.0067813501393990915
Branched Oak Lake,XGBoost,10,full,-0.01725283621267345,-0.0709986087737189,0.09577542687416116,0.20096359381019185,-0.04792221660411907,-0.14714575996218987
Branched Oak Lake,XGBoost,10,full_minus_affine,-0.01692085563280725,-0.07588974398273055,0.0963264677242444,0.1956621865554543,-0.04891498602509101,-0.15364140809952515
Branched Oak Lake,XGBoost,10,full_minus_repr0,-0.0041182231107136005,-0.00227064242161745,0.08767524212037406,0.2575068502179457,-0.008133975365025444,-0.02632636262660673
Branched Oak Lake,XGBoost,10,full_minus_repr1,-0.019699542694883852,-0.02278802483432945,0.09082324290469075,0.2120211560130852,-0.04546346952145755,-0.09337628222040475
Branched Oak Lake,XGBoost,10,intercept_only,0.0,0.0,0.08477133088804359,0.29694843607732657,0.0,1.9721243982306906e-09
