lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Lake Erie,PLSR,5,0.7002900115648691,0.7305137353734521,-0.029964738239491417,0.1288896006063514,-0.5243986203662897,0.6390934442986983,100539.54652435707
Lake Erie,PLSR,10,0.6911013681105165,0.7309663948968503,-0.0384585280613009,-0.12590159683290292,-0.5235141745406316,0.389197668870343,54770.88318215433
Lake Erie,XGBoost,1,0.7838636958183249,0.7838636958183249,0.0,0.5593658516563975,0.5593658506422688,1.2586470754527568e-10,0.614741487081601
Lake Erie,XGBoost,3,0.783563389942028,0.783563389942028,0.0,0.5576089047774968,0.5594069424872079,-0.0010691244627771823,0.650892481351149
Lake Erie,XGBoost,5,0.7716100690342049,0.7836704368235572,-0.011689200516412812,0.514507735030231,0.5595015979071377,-0.04534448676686509,0.5734894924791971
Lake Erie,XGBoost,10,0.8098624161928796,0.7838276108460029,0.024625648847408477,0.3721340219952964,0.5592318009857675,-0.18174267464167038,-512.8990556839917
Lake Geneva,MLP,1,0.5548729092001964,0.5548729092001964,0.0,0.43702459902625507,0.4370245990262551,0.0,0.6738699133225345
Lake Geneva,MLP,3,0.5528651893298939,0.5528651893298939,0.0,0.44473197058415626,0.44302165369457763,-0.0008380843162429374,0.6505003924411967
Lake Geneva,MLP,5,0.5064759084683947,0.5295178419140133,0.0,0.3833106180200441,0.43960172686273635,0.009153836914934266,0.5888769562384568
Lake Geneva,MLP,10,0.6484848484848483,0.5826945271874246,0.10621742575826001,0.41816830326973975,0.4614634014093863,0.04679874772422504,0.47464792788571303
Lake Geneva,PLSR,1,0.8244076926249755,0.8244076926249755,0.0,0.5125586727479794,0.5125586727479794,0.0,-0.17149118894156318
Lake Geneva,PLSR,3,0.8186274509803922,0.8186274509803922,0.0,0.5151444660289012,0.5050514660917138,0.0073782015193646355,-0.14943764706405332
Lake Geneva,PLSR,5,0.5701521490256695,0.817329091968902,-0.25289758938116275,0.3852686837501106,0.5030957289784721,-0.111241845122512,-0.22963281320333984
Lake Geneva,PLSR,10,0.776929111145932,0.8406669463513657,-0.01820026755801274,0.38826480783984135,0.5313403192470458,-0.1406957999070093,0.15535055359785133
Lake Geneva,XGBoost,1,0.3791136828325801,0.3791136828325801,0.0,0.07369172786062173,0.0736917266513677,-6.010536512945919e-10,0.6846505512017962
Lake Geneva,XGBoost,3,0.3631904574433318,0.3631904574433318,0.0,0.11398363223174773,0.08533418810247495,0.026765890577452045,0.7146724711879449
Lake Geneva,XGBoost,5,0.453083290840148,0.3620921218541346,0.10008940547159084,0.19787474084878248,0.07092721331578067,0.19831186409844542,0.9278132317268364
Lake Geneva,XGBoost,10,0.6100133779006383,0.4024465059906087,0.19786720403826732,0.28827783467926243,0.1275829577155318,0.16743599317651664,0.5769877505717489
Lake Hume,MLP,1,0.8291748791168313,0.8291748791168313,0.0,0.719123041986443,0.719123041986443,0.0,0.032073576586317154
Lake Hume,MLP,3,0.8292840002977817,0.8292840002977817,0.0,0.717509418542687,0.7187607301140415,0.001418746541110738,0.05722704776023507
Lake Hume,MLP,5,0.8059291047643204,0.8323655310044091,-0.014671047989965547,0.5886176259939591,0.728632929086651,-0.10951406941044112,-0.27977740351531283
Lake Hume,MLP,10,0.8390195900566733,0.8253988524618112,0.02106170726654305,0.7209981958942007,0.7196546367787204,0.03683460850043552,0.021681783223968243
